//Tabela Times

INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('1', 'Inter de Emirão', 'Fly Emirates');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('2', 'Mogi Mirim', 'Isma');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('3', 'Guaçuano', 'Buriti');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('4', 'Real Marília', 'Monroe');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('5', 'Barueri United', 'Isma');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('6', 'Ponte 04', 'Broto Legal ');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('7', 'XVI de Dortmund', 'Planetário');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('8', 'Paris São João', 'Nica ');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('9', 'Linda Chaib', 'Polícia Militar ');
INSERT INTO `testecampeonato`.`times` (`id`, `nome`, `pratrocinadores`) VALUES ('10', 'Milandóia ', 'Broto Legal ');

//Tabela Campeonato

INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('1', '2017-10-01', 'Campo do Rogrigues');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('2', '2017-10-01', 'Campo do Sindicato ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('3', '2017-10-02', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('4', '2017-10-02', 'Campo da Brahma ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('5', '2017-10-04', 'Campo do Rogrigues');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('6', '2017-10-04', 'Campo do Sindicato ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('7', '2017-10-06', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('8', '2017-10-06', 'Campo da Brahma ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('9', '2017-10-09', 'Campo do Sindicato ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('10', '2017-10-10', 'Campo do Mirante');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('11', '2017-11-01', 'Campo do Rogrigues');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('12', '2017-11-01', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('13', '2017-11-03', 'Campo do Sindicato ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('14', '2017-11-04', 'Campo do Tucura ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('15', '2017-11-05', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('16', '2017-11-05', 'Campo do Mirante');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('17', '2017-11-07', 'Campo do Rogrigues');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('18', '2017-11-07', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('19', '2017-11-08', 'Campo do Sindicato ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('20', '2017-11-09', 'Campo do Tucura ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('21', '2017-09-01', 'Campo da Brahma ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('22', '2017-09-01', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('23', '2017-09-01', 'Campo do Tucura ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('24', '2017-09-04', 'Campo do Zerão ');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('25', '2017-09-04', 'Campo do Mirante');
INSERT INTO `testecampeonato`.`jogos` (`id`, `data`, `nome_estadio`) VALUES ('26', '2017-09-06', 'Campo do Rogrigues');
